session,name,2-partition,3-partition,4-partition,5-partition,6-partition,7-partition
97,"Akaka, D. ",0,0,0,0,5,5
97,"Breaux, J. ",1,1,0,3,1,1
97,"Craig, L. ",1,1,0,1,0,0
97,"Daschle, T. ",0,0,1,0,5,5
97,"Dorgan, B. ",0,0,1,0,5,5
97,"Gregg, J. ",1,1,0,3,1,1
97,"Harkin, T. ",0,0,1,0,5,5
97,"Jeffords, J. ",0,1,0,0,5,5
97,"Lott, T. ",1,1,0,3,1,1
97,"Mikulski, B. ",0,0,1,0,5,5
97,"Nelson, B. ",0,0,0,1,2,0
97,"Roberts, P. ",1,1,0,3,1,1
97,"Schumer, C. ",0,0,1,0,2,6
97,"Shelby, R. ",1,1,0,3,1,1
97,"Snowe, O. ",1,1,0,3,1,1
97,"Wyden, R. ",0,0,1,0,5,5
97,"Gramm, P. ",1,1,0,3,0,4
97,"Bereuter, D. ",1,1,0,3,3,2
97,"Conyers, J. ",0,0,1,0,5,5
97,"Crane, P. ",1,2,3,4,3,0
97,"Dicks, N. ",0,0,0,0,5,5
97,"Dingell, J. ",0,1,0,1,4,2
97,"Dreier, D. ",1,1,0,3,1,1
97,"Frank, B. ",0,0,1,0,5,5
97,"Frost, J. ",0,0,1,0,5,5
97,"Gephardt, R. ",0,0,1,3,2,1
97,"Hall, R. ",1,1,0,3,1,4
97,"Hoyer, S. ",0,0,1,0,5,5
97,"Hunter, D. ",1,1,2,1,0,1
97,"Hyde, H. ",1,1,0,3,1,1
97,"Kildee, D. ",0,0,1,0,5,5
97,"Lantos, T. ",0,0,1,0,5,5
97,"Leach, J. ",0,0,0,3,5,1
97,"Lewis, J. ",1,1,0,3,1,1
97,"Markey, E. ",0,0,1,0,5,5
97,"Matsui, R. ",0,0,1,0,5,5
97,"Miller, G. ",0,0,1,0,5,5
97,"Murtha, J. ",1,0,0,3,1,5
97,"Oberstar, J. ",0,0,1,0,5,5
97,"Obey, D. ",0,0,0,0,5,6
97,"Oxley, M. ",1,1,0,3,1,1
97,"Paul, R. ",1,1,0,3,0,4
97,"Petri, T. ",1,1,0,3,0,4
97,"Rahall, N. ",0,1,0,3,5,5
97,"Rangel, C. ",0,0,1,0,5,5
97,"Regula, R. ",1,1,0,1,4,5
97,"Rogers, H. ",1,1,0,3,1,1
97,"Sabo, M. ",0,0,1,0,5,5
97,"Sensenbrenner, F. ",1,2,3,4,3,4
97,"Shaw, E. ",1,1,0,3,1,1
97,"Shuster, E. ",1,1,3,1,0,4
97,"Skelton, I. ",1,1,0,3,1,1
97,"Smith, C. ",1,1,0,3,1,1
97,"Stark, F. ",0,0,1,0,5,5
97,"Stenholm, C. ",1,1,0,3,1,1
97,"Tauzin, W. ",1,1,0,3,1,1
97,"Thomas, W. ",1,1,0,3,1,1
97,"Waxman, H. ",0,0,1,0,5,5
97,"Wolf, F. ",1,1,0,3,1,1
97,"Young, C. ",1,1,0,1,3,0
97,"Young, D. ",1,1,0,3,3,1
97,"Stump, R. ",1,1,0,1,0,1
97,"Bonior, D. ",0,0,1,0,5,5
97,"Roukema, M. ",1,0,0,0,5,4
97,"Skeen, J. ",1,1,0,3,1,1
97,"Gilman, B. ",1,1,0,3,1,1
97,"LaFalce, J. ",0,0,1,0,1,5
97,"Hall, T. ",0,0,0,0,2,0
97,"Watkins, W. ",1,1,0,1,0,4
97,"Coyne, W. ",0,0,1,0,5,5
97,"Hansen, J. ",1,1,0,3,1,1
97,"Archer, B. ",1,1,0,3,1,1
97,"Bliley, T. ",1,1,0,3,3,1
97,"Brown, G. ",0,0,1,0,5,5
97,"Dixon, J. ",0,0,1,0,5,5
97,"Gejdenson, S. ",0,0,1,0,5,5
97,"Goodling, W. ",1,1,0,3,3,1
97,"Martínez, M. ",0,0,0,3,5,2
97,"McCollum, B. ",1,1,0,3,1,1
97,"Moakley, J. ",0,0,1,0,5,5
97,"Porter, J. ",1,1,0,3,1,1
97,"Spence, F. ",1,1,0,3,1,1
97,"Vento, B. ",0,0,1,0,5,5
97,"Lungren, D. ",1,1,0,3,1,1
97,"Addabbo, J. ",0,0,1,0,5,5
97,"Albosta, D. ",0,1,0,0,2,6
97,"Alexander, W. ",1,1,0,3,1,1
97,"Anderson, G. ",0,1,0,3,1,3
97,"Andrews, I. ",0,1,0,3,1,1
97,"Annunzio, F. ",1,1,0,3,1,1
97,"Anthony, B. ",1,1,0,3,0,1
97,"Applegate, D. ",1,1,0,3,0,0
97,"Ashbrook, J. ",0,0,0,0,0,3
97,"Ashbrook, J. ",1,2,2,1,3,2
97,"Aspin, L. ",0,0,0,0,5,5
97,"Atkinson, E. ",1,1,0,1,3,1
97,"AuCoin, L. ",0,0,1,0,5,0
97,"Badham, R. ",1,1,0,3,1,1
97,"Bafalis, L. ",1,1,0,3,3,1
97,"Bailey, D. ",1,1,0,3,1,1
97,"Bailey, R. ",1,1,0,3,1,1
97,"Barnard, D. ",1,1,0,3,1,1
97,"Barnes, M. ",0,0,1,0,5,5
97,"Beard, R. ",1,1,0,3,1,1
97,"Bedell, B. ",0,0,1,0,5,5
97,"Beilenson, A. ",0,0,1,0,2,5
97,"Benedict, C. ",1,1,0,3,1,1
97,"Benjamin, A. ",0,0,3,3,5,5
97,"Bennett, C. ",1,1,0,3,1,1
97,"Bethune, E. ",1,1,0,3,1,1
97,"Bevill, T. ",1,1,0,3,1,1
97,"Biaggi, M. ",0,0,1,2,2,5
97,"Bingham, J. ",0,0,1,0,5,5
97,"Blanchard, J. ",0,0,0,0,0,6
97,"Boggs, C. ",0,0,0,0,0,0
97,"Boland, E. ",0,0,1,0,5,5
97,"Bolling, R. ",0,0,0,0,0,0
97,"Boner, W. ",0,1,0,3,1,1
97,"Bonker, D. ",0,0,1,0,5,5
97,"Bowen, D. ",1,1,0,3,1,1
97,"Brinkley, J. ",1,1,0,1,4,1
97,"Brodhead, W. ",0,0,1,0,5,5
97,"Brooks, J. ",1,1,0,3,0,3
97,"Broomfield, W. ",1,1,0,3,0,1
97,"Brown, C. ",1,1,0,1,0,0
97,"Brown, G. ",1,1,0,3,1,1
97,"Broyhill, J. ",1,1,0,1,3,1
97,"Burgener, C. ",1,1,0,3,1,1
97,"Burton, J. ",0,0,1,0,5,5
97,"Burton, P. ",0,0,1,2,2,3
97,"Butler, M. ",1,1,0,1,4,1
97,"Byron, B. ",1,2,0,1,0,2
97,"Campbell, C. ",1,1,0,3,1,1
97,"Carman, G. ",1,1,0,3,1,1
97,"Carney, W. ",1,1,0,3,1,1
97,"Chappell, W. ",1,1,0,3,3,0
97,"Chappie, E. ",1,1,0,3,1,1
97,"Cheney, R. ",1,1,0,1,0,0
97,"Chisholm, S. ",0,0,1,0,5,5
97,"Clausen, D. ",1,1,0,1,4,1
97,"Clay, W. ",0,0,1,0,5,5
97,"Clinger, W. ",1,0,0,3,3,5
97,"Coats, D. ",1,1,0,3,1,1
97,"Coelho, A. ",0,0,1,0,5,5
97,"Coleman, E. ",1,1,0,1,0,4
97,"Collins, C. ",0,0,1,0,5,5
97,"Collins, J. ",1,2,3,4,3,4
97,"Conable, B. ",1,1,0,1,3,2
97,"Conte, S. ",0,0,1,0,5,5
97,"Corcoran, T. ",1,1,0,3,1,1
97,"Corrada-del Río, B. ",0,0,1,0,5,5
97,"Cotter, W. ",0,0,2,0,4,0
97,"Coughlin, R. ",0,0,0,0,0,0
97,"Courter, J. ",1,1,0,3,1,1
97,"Coyne, J. ",1,1,0,4,0,5
97,"Crane, D. ",1,1,0,3,1,1
97,"Crockett, G. ",0,0,1,0,5,5
97,"D'Amours, N. ",0,1,0,3,0,5
97,"Daniel, R. ",1,1,0,3,1,1
97,"Daniel, W. ",1,1,0,3,1,1
97,"Danielson, G. ",0,2,2,2,2,3
97,"Dannemeyer, W. ",1,1,0,3,1,1
97,"Daub, H. ",1,1,0,3,1,1
97,"Davis, R. ",1,1,0,3,0,4
97,"de la Garza, E. ",1,1,0,2,2,0
97,"de Lugo, R. ",0,0,1,0,5,5
97,"Deckard, H. ",1,1,0,3,1,1
97,"Dellums, R. ",0,0,1,0,5,5
97,"DeNardis, L. ",0,0,1,0,5,5
97,"Derrick, B. ",1,1,0,3,3,4
97,"Derwinski, E. ",1,1,0,1,3,4
97,"Dickinson, W. ",1,1,0,1,3,4
97,"Donnelly, B. ",0,0,0,0,1,5
97,"Dornan, R. ",1,1,3,1,3,4
97,"Dougherty, C. ",1,1,0,3,1,1
97,"Dowdy, C. ",0,1,0,3,2,5
97,"Downey, T. ",0,0,1,0,5,5
97,"Duncan, J. ",1,1,0,3,0,4
97,"Dunn, J. ",1,1,0,3,1,1
97,"Dwyer, B. ",0,0,1,0,5,5
97,"Dymally, M. ",0,0,1,0,5,5
97,"Dyson, R. ",1,1,0,3,1,1
97,"Early, J. ",1,0,0,0,0,5
97,"Eckart, D. ",0,0,1,0,5,6
97,"Edgar, R. ",0,0,1,0,5,5
97,"Edwards, M. ",1,1,0,3,1,1
97,"Edwards, W. ",0,0,1,0,5,5
97,"Edwards, W. ",1,1,0,3,0,4
97,"Emerson, N. ",1,1,0,3,1,1
97,"Emery, D. ",1,1,0,3,1,1
97,"English, G. ",1,1,0,3,0,0
97,"Erdahl, A. ",0,0,0,3,5,5
97,"Erlenborn, J. ",1,2,3,1,0,0
97,"Ertel, A. ",0,0,1,0,5,5
97,"Evans, B. ",1,1,0,3,0,1
97,"Evans, D. ",0,1,0,0,5,4
97,"Evans, T. ",1,1,0,4,0,2
97,"Evans, T. ",1,1,0,3,3,1
97,"Fary, J. ",0,0,0,0,5,5
97,"Fascell, D. ",0,0,0,3,2,5
97,"Fauntroy, W. ",0,0,1,0,5,5
97,"Fazio, V. ",0,0,1,0,5,5
97,"Fenwick, M. ",0,0,0,0,5,1
97,"Ferraro, G. ",0,0,1,0,2,5
97,"Fiedler, B. ",1,1,0,3,1,1
97,"Fields, J. ",1,1,0,1,4,4
97,"Findley, P. ",1,1,0,3,0,4
97,"Fish, H. ",0,1,0,3,1,1
97,"Fithian, F. ",0,0,0,3,0,5
97,"Flippo, R. ",0,1,0,3,1,1
97,"Florio, J. ",0,1,0,3,1,5
97,"Foglietta, T. ",0,0,1,0,5,5
97,"Foley, T. ",0,1,0,3,1,1
97,"Ford, H. ",0,0,1,0,5,5
97,"Ford, W. ",0,0,1,0,5,5
97,"Forsythe, E. ",1,1,0,3,1,1
97,"Fountain, L. ",1,1,0,3,1,1
97,"Fowler, W. ",1,0,0,0,0,5
97,"Frenzel, W. ",1,1,0,3,3,1
97,"Fuqua, D. ",1,1,0,3,1,1
97,"Garcia, R. ",0,0,1,0,5,5
97,"Gaydos, J. ",0,0,0,0,3,0
97,"Gibbons, S. ",1,2,2,3,1,0
97,"Gingrich, N. ",1,1,0,3,1,1
97,"Ginn, R. ",1,1,0,3,1,1
97,"Glickman, D. ",0,0,3,0,0,6
97,"Goldwater, B. ",1,1,0,3,1,1
97,"González, H. ",0,1,2,2,2,3
97,"Gore, A. ",0,0,0,3,5,6
97,"Gradison, W. ",1,1,0,1,3,4
97,"Gray, W. ",0,0,1,0,5,5
97,"Green, S. ",0,0,0,3,5,1
97,"Grisham, W. ",1,1,0,3,1,1
97,"Guarini, F. ",0,0,1,0,5,5
97,"Gunderson, S. ",1,1,0,3,1,1
97,"Guyer, T. ",1,2,3,4,0,4
97,"Hagedorn, T. ",1,1,0,3,3,1
97,"Hall, K. ",0,2,0,0,0,0
97,"Hall, S. ",1,1,0,3,0,1
97,"Hamilton, L. ",0,0,0,0,5,6
97,"Hammerschmidt, J. ",1,1,0,1,3,2
97,"Hance, K. ",1,1,0,3,1,1
97,"Hansen, G. ",1,1,0,1,4,2
97,"Hartnett, T. ",1,1,0,3,1,1
97,"Hatcher, C. ",1,1,0,3,1,1
97,"Hawkins, A. ",0,0,1,0,5,5
97,"Heckler, M. ",0,0,0,3,2,1
97,"Hefner, W. ",1,1,0,3,1,1
97,"Heftel, C. ",0,0,1,3,1,6
97,"Hendon, W. ",1,1,0,1,0,4
97,"Hertel, D. ",0,0,1,0,5,5
97,"Hightower, J. ",1,1,0,3,1,1
97,"Hiler, J. ",1,1,0,3,1,1
97,"Hillis, E. ",1,2,3,1,0,1
97,"Hinson, J. ",1,2,3,4,0,0
97,"Holland, K. ",1,1,0,3,3,2
97,"Hollenbeck, H. ",0,0,0,0,0,3
97,"Holt, M. ",1,1,0,3,1,1
97,"Hopkins, L. ",1,1,0,3,1,1
97,"Horton, F. ",1,1,0,3,1,1
97,"Howard, J. ",0,0,0,0,5,5
97,"Hubbard, C. ",1,1,0,1,0,2
97,"Huckaby, T. ",1,1,0,3,3,1
97,"Hughes, W. ",0,1,0,3,1,1
97,"Hutto, E. ",1,1,0,3,1,1
97,"Ireland, A. ",1,1,0,3,3,4
97,"Jacobs, A. ",0,1,0,3,1,1
97,"Jeffries, J. ",1,1,3,1,0,0
97,"Jenkins, E. ",1,1,0,3,1,1
97,"Johnston, W. ",1,1,0,3,1,1
97,"Jones, E. ",1,1,0,3,1,1
97,"Jones, J. ",1,1,0,3,5,5
97,"Jones, W. ",1,1,0,3,1,1
97,"Kastenmeier, R. ",0,0,1,0,2,5
97,"Kazen, A. ",1,1,0,3,1,1
97,"Kemp, J. ",1,1,0,3,1,1
97,"Kennelly, B. ",0,0,1,0,5,5
97,"Kindness, T. ",1,1,3,1,4,4
97,"Kogovsek, R. ",0,0,1,0,5,5
97,"Kramer, K. ",1,1,0,3,1,1
97,"Lagomarsino, R. ",1,1,0,3,1,1
97,"Latta, D. ",1,1,0,1,0,4
97,"Leath, J. ",1,1,0,1,0,0
97,"LeBoutillier, J. ",1,1,0,3,1,1
97,"Lederer, R. ",0,0,0,0,0,0
97,"Lee, G. ",1,1,0,3,1,1
97,"Lehman, W. ",0,0,1,0,5,5
97,"Leland, G. ",0,0,1,0,5,5
97,"Lent, N. ",1,1,0,1,0,0
97,"Levitas, E. ",1,2,0,1,0,4
97,"Livingston, R. ",1,1,0,3,1,1
97,"Lloyd, M. ",1,1,0,3,3,4
97,"Loeffler, T. ",1,1,0,3,1,1
97,"Long, C. ",0,0,0,0,5,5
97,"Long, G. ",0,0,0,0,0,0
97,"Lowery, W. ",1,1,0,3,1,1
97,"Lowry, M. ",0,0,1,0,5,5
97,"Luján, M. ",1,1,0,1,3,4
97,"Luken, T. ",1,0,0,0,3,4
97,"Lundine, S. ",0,0,1,0,5,5
97,"Madigan, E. ",1,1,0,1,4,0
