,text,label
0,i just feel really helpless and heavy hearted,fear
1,ive enjoyed being able to slouch about relax and unwind and frankly needed it after those last few weeks around the end of uni and the expo i have lately started to find myself feeling a bit listless which is never really a good thing,sadness
2,i gave up my internship with the dmrg and am feeling distraught,fear
3,i dont know i feel so lost,sadness
4,i am a kindergarten teacher and i am thoroughly weary of my job after having taken the university entrance exam i suffered from anxiety for weeks as i did not want to carry on with my work studies were the only alternative,fear
5,i was beginning to feel quite disheartened,sadness
6,i would think that whomever would be lucky enough to stay in this suite must feel like it is the most romantic place on earth,love
7,i fear that they won t ever feel that delicious excitement of christmas eve at least not in the same way i remember doing it,joy
8,im forever taking some time out to have a lie down because i feel weird,surprise
9,i can still lose the weight without feeling deprived,sadness
10,i try to be nice though so if you get a bitchy person on the phone or at the window feel free to have a little fit and throw your pen at her face,joy
11,im feeling a little like a damaged tree and that my roots are a little out of wack,sadness
12,i have officially graduated im not feeling as ecstatic as i thought i would,joy
13,i feel like a jerk because the library students who all claim to love scrabble cant be bothered to participate and clearly scrabble is an inappropriate choice for a group of students whose native language isnt english,anger
14,i feel my portfolio demonstrates how eager i am to learn but some who know me better might call it annoyingly persistent,joy
15,i may be more biased than the next because i have a dependent life to take care of and to keep safe but i feel we all need to take care of ourselves as well,joy
16,i didn t feel terrific,joy
17,i miss all the others as well that feel that i wronged them and they will soon understand that i didnt,anger
18,i feel so stupid that i realise it so late,sadness
19,i saunter through the airport terminals feeling that i have had an experience that renders the petty tribulations of everyday travel somehow far less significant,anger
20,i need to feel dangerous and pretty so here a striking dance pick deep in vogue minutes ago,anger
21,i am feeling much stronger and more confident now and by professional opinion i know that i do not have anything serious,joy
22,i take a shower i feel wonderful energetic and all my previous feelings about my life turn into this awesome feeling creating my life like the happiest life in the world,joy
23,i don t feel submissive and for the time being i ve lost interest in some bdsm stuff,sadness
24,i would imagine this is just one of the reasons why marriage is so hard because theyll see all the good bad and ugly parts of you the parts that make it hard for you to love yourself and it feels even more awful when you feel like those parts are exposed to other people and i dont know,sadness
25,i feel like a real fan not that i was ever a fake fan,sadness
26,i feel like i am actually getting something useful out of it,joy
27,i was able to overcome this anxiousness and feel peaceful as i quickly jotted down all the answers to todays homework,joy
28,when,anger
29,i have been successful in providing some peace of mind i feel content,joy
30,i guess that feeling is what im really getting all nostalgic about,love
31,i needed to show me that i really am integrating and making connections here since i had been feeling pretty homesick the week before,sadness
32,i feel disheartened to message him and yet does not get a reply or any news from him,sadness
33,i feel assured that i m doing so much right and that i am not alone,joy
34,i was less intelligent and could not really feel through my music was not passionate about the little things im not sure i would go for it,love
35,i found jason s observation very helpful in restating a truth i learned some years ago as my wife and i now together for years went through some times when you love someone trust can feel an awful lot like letting go,sadness
36,i admit some of my inspiration to go this direction is because i am feeling a little melancholy that i won t be making my a href http www,sadness
37,i have found myself feeling hopeless about the future and about life,sadness
38,i kinda have a feeling that something will come damaged and it wont be returnable or that the whole thing will have a defect,sadness
39,this emotion has never been an intense one,anger
40,i dunno i just feel scared to walk in after awhile it got ok but when i walk into this room w poorly erected brick walls separating the room into xm partitions,fear
41,i feel about my holiday break from work pagetitle rugmi popular images of the now,joy
42,i think a guy can make up for lacking funds in romantic ways to make his lady feel taken care of and loved,love
43,i began to feel doomed,sadness
44,i feel my life is totally in ecstatic chaos,joy
45,i feel i am being neglectful to a lot of you by not responding to your comments,sadness
46,i havent done my eye make up i hate anyone seeing me and i feel nekkid that sounds really vain but i just think i look horrendous without it,sadness
47,i feel a bit intimidated and out of my league due to his experience,fear
48,i remember feeling after the third bong hit that i was being pressured into this,fear
49,i feel anger when i see a parent beating and punishing his child in the street recently i was a withness of a similar case,anger
50,i have wished her the best and i truly feel as though i am sincere about this,joy
51,i would want to thank them for letting my heart feel the lovely phenomenon for the first time,love
52,i was feeling lousy and wondering if i d be able to keep up with the vlcd part of the hcg cycle,sadness
53,i feel so much more intelligent now,joy
54,i feel distraught and completely tormented every time my phone goes off i hope,fear
55,i will reveal only as much of my reading here as i feel comfortable with,joy
56,i went from feeling like i knew what i was doing to feeling completely helpless,sadness
57,i got quite high and started to be really really random and like i didnt feel that awkward with the year s anymore,sadness
58,i am saying is im trying to learn what to do when i feel like theres not enough time in one day let alone a whole lifetime to do what is required of me,sadness
