,POP_ESTIMATE_2022,State,County
0,333287557,0,0
1,5074296,1,0
2,59759,1,1
3,246435,1,3
4,24706,1,5
5,22005,1,7
6,59512,1,9
7,10202,1,11
8,18650,1,13
9,115788,1,15
10,34088,1,17
11,25302,1,19
12,45884,1,21
13,12439,1,23
14,22515,1,25
15,14198,1,27
16,15346,1,29
17,54805,1,31
18,58033,1,33
19,11206,1,35
20,10166,1,37
21,37602,1,39
22,13025,1,41
23,90665,1,43
24,49544,1,45
25,36767,1,47
26,71998,1,49
27,89563,1,51
28,36666,1,53
29,103088,1,55
30,16118,1,57
31,31932,1,59
32,26783,1,61
33,7422,1,63
34,14595,1,65
35,17655,1,67
36,108079,1,69
37,52891,1,71
38,665409,1,73
39,13705,1,75
40,95878,1,77
41,33214,1,79
42,180773,1,81
43,110900,1,83
44,9777,1,85
45,18516,1,87
46,403565,1,89
47,18745,1,91
48,29156,1,93
49,99423,1,95
50,411411,1,97
51,19404,1,99
52,226361,1,101
53,124211,1,103
54,8035,1,105
55,18697,1,107
56,33014,1,109
57,22479,1,111
58,58555,1,113
59,93932,1,115
60,230115,1,117
61,11853,1,119
62,80704,1,121
63,40977,1,123
64,236780,1,125
65,64339,1,127
66,15122,1,129
67,10059,1,131
68,23755,1,133
69,733583,2,0
70,3398,2,13
71,5122,2,16
72,287145,2,20
73,18257,2,50
74,865,2,60
75,6874,2,63
76,2589,2,66
77,1585,2,68
78,4723,2,70
79,95356,2,90
80,2056,2,100
81,2287,2,105
82,31685,2,110
83,60690,2,122
84,13741,2,130
85,12720,2,150
86,8278,2,158
87,1381,2,164
88,113325,2,170
89,9835,2,180
90,10805,2,185
91,7423,2,188
92,3360,2,195
93,5650,2,198
94,8382,2,220
95,1081,2,230
96,7021,2,240
97,2070,2,275
98,700,2,282
99,5179,2,290
100,3679599,4,0
101,32716,4,1
102,62832,4,3
103,72030,4,5
104,26961,4,7
105,19390,4,9
106,4651,4,11
107,8253,4,12
108,2275762,4,13
109,110408,4,15
110,54325,4,17
111,528799,4,19
112,232077,4,21
113,24380,4,23
114,123096,4,25
115,103921,4,27
116,1522819,5,0
117,8256,5,1
118,9177,5,3
119,21218,5,5
120,151432,5,7
121,19142,5,9
122,5068,5,11
123,2348,5,13
124,14371,5,15
125,4937,5,17
126,10625,5,19
127,7133,5,21
128,12642,5,23
129,3734,5,25
130,11108,5,27
131,10523,5,29
132,56509,5,31
133,30538,5,33
134,23531,5,35
135,8301,5,37
136,3096,5,39
137,5386,5,41
138,8456,5,43
139,63833,5,45
140,8636,5,47
141,6191,5,49
142,50045,5,51
143,9080,5,53
144,23224,5,55
145,9727,5,57
146,16602,5,59
147,6279,5,61
148,18973,5,63
149,7024,5,65
150,8312,5,67
151,32123,5,69
152,13001,5,71
153,3051,5,73
154,8103,5,75
155,4182,5,77
156,6458,5,79
157,5911,5,81
158,10627,5,83
159,37613,5,85
160,8743,5,87
161,8627,5,89
162,21276,5,91
163,19448,5,93
164,3282,5,95
165,4278,5,97
166,4091,5,99
167,3539,5,101
168,11025,5,103
169,5032,5,105
170,7652,5,107
171,5090,5,109
172,11248,5,111
173,9669,5,113
174,32033,5,115
175,4035,5,117
176,199573,5,119
177,9419,5,121
178,11226,5,123
179,63679,5,125
180,4903,5,127
181,3959,5,129
182,64530,5,131
183,7843,5,133
184,8905,5,135
185,6288,5,137
186,18876,5,139
187,8051,5,141
188,128027,5,143
189,38878,5,145
190,3025,5,147
191,10065,5,149
192,19514671,6,0
193,814499,6,1
194,595,6,3
195,20706,6,5
196,103652,6,7
197,23282,6,9
198,10957,6,11
199,578483,6,13
200,13541,6,15
201,96323,6,17
202,507595,6,19
203,14170,6,21
204,67505,6,23
205,89357,6,25
206,9359,6,27
207,458054,6,29
208,76491,6,31
209,34096,6,33
210,14952,6,35
211,4860569,6,37
212,80128,6,39
213,128009,6,41
214,8510,6,43
215,44892,6,45
216,145007,6,47
217,4256,6,49
218,6489,6,51
219,216429,6,53
220,67150,6,55
221,51147,6,57
222,1575592,6,59
223,208886,6,61
224,9676,6,63
225,1236951,6,65
226,792085,6,67
227,33790,6,69
228,1096828,6,71
229,1638104,6,73
230,404219,6,75
231,396615,6,77
232,141007,6,79
233,364591,6,81
234,221919,6,83
235,935473,6,85
236,132185,6,87
237,90465,6,89
238,1609,6,91
239,21830,6,93
240,224374,6,95
241,241325,6,97
242,275638,6,99
243,49252,6,101
244,32623,6,103
245,7891,6,105
246,238772,6,107
247,27266,6,109
248,416303,6,111
249,111058,6,113
250,42155,6,115
251,2919963,8,0
252,263788,8,1
253,8296,8,3
254,327904,8,5
255,7002,8,7
256,1716,8,9
257,2700,8,11
258,163734,8,13
259,38061,8,14
260,10112,8,15
261,866,8,17
262,4678,8,19
263,3790,8,21
264,1802,8,23
265,2807,8,25
266,2668,8,27
267,15801,8,29
268,356626,8,31
269,1228,8,33
270,187994,8,35
271,27643,8,37
272,13900,8,39
273,370284,8,41
274,24811,8,43
275,31136,8,45
276,2946,8,47
277,7885,8,49
278,8634,8,51
279,388,8,53
280,3541,8,55
281,651,8,57
282,288072,8,59
283,712,8,61
284,3481,8,63
285,3664,8,65
286,28304,8,67
287,183389,8,69
288,7164,8,71
289,2755,8,73
290,10412,8,75
291,79318,8,77
292,466,8,79
293,6589,8,81
294,13234,8,83
295,21906,8,85
296,14620,8,87
297,9152,8,89
298,2550,8,91
299,8970,8,93
300,2225,8,95
301,8438,8,97
302,5927,8,99
303,84772,8,101
304,3285,8,103
305,5663,8,105
306,12504,8,107
307,3312,8,109
308,402,8,111
309,4002,8,113
310,1148,8,115
311,15283,8,117
312,12429,8,119
313,2406,8,121
314,175088,8,123
315,4950,8,125
316,1813103,9,0
325,490724,9,110
326,163643,9,120
327,88311,9,130
328,227042,9,140
329,48098,9,150
330,56617,9,160
331,286622,9,170
332,140202,9,180
333,311845,9,190
334,509198,10,0
335,93473,10,1
336,287747,10,3
337,127978,10,5
338,335902,11,0
339,335902,11,1
340,11122412,12,0
341,142015,12,1
342,13902,12,3
343,92567,12,5
344,13657,12,7
345,315347,12,9
346,973513,12,11
347,6732,12,13
348,101331,12,15
349,81265,12,17
350,113295,12,19
351,198997,12,21
352,35954,12,23
353,17656,12,27
354,8562,12,29
355,508268,12,31
356,162439,12,33
357,63353,12,35
358,6249,12,37
359,21702,12,39
360,9496,12,41
361,6227,12,43
362,7657,12,45
363,6609,12,47
364,12823,12,49
365,20670,12,51
366,103448,12,53
367,52809,12,55
368,756651,12,57
369,9826,12,59
370,83676,12,61
371,24106,12,63
372,7521,12,65
373,3893,12,67
374,205070,12,69
375,411227,12,71
376,148685,12,73
377,22630,12,75
378,3802,12,77
379,9099,12,79
380,214563,12,81
381,198208,12,83
382,81003,12,85
383,1336919,12,86
384,40854,12,87
385,48950,12,89
386,108241,12,91
387,20206,12,93
388,726363,12,95
389,211273,12,97
390,759239,12,99
391,304397,12,101
392,480870,12,103
393,393702,12,105
394,37366,12,107
395,153421,12,109
396,179352,12,111
397,99134,12,113
398,231143,12,115
399,239386,12,117
400,72485,12,119
401,22706,12,121
402,10642,12,123
403,7730,12,125
404,289596,12,127
405,17589,12,129
406,41652,12,131
407,12707,12,133
408,5456438,13,0
409,9214,13,1
410,4092,13,3
411,5596,13,5
412,1394,13,7
413,21818,13,9
414,9664,13,11
415,44650,13,13
416,56408,13,15
417,8535,13,17
418,9107,13,19
419,78099,13,21
420,6129,13,23
421,9092,13,25
422,8127,13,27
423,24113,13,29
424,41530,13,31
425,12194,13,33
426,13325,13,35
427,2735,13,37
428,28507,13,39
429,5500,13,43
430,62296,13,45
431,34413,13,47
432,6391,13,49
433,150554,13,51
434,4410,13,53
435,12468,13,55
436,140639,13,57
437,64938,13,59
438,1423,13,61
439,148282,13,63
440,3331,13,65
441,385976,13,67
442,21586,13,69
443,22881,13,71
444,81210,13,73
445,8702,13,75
446,76441,13,77
447,6070,13,79
448,9854,13,81
449,8041,13,83
450,15069,13,85
451,14491,13,87
452,381410,13,89
453,9901,13,91
454,5286,13,93
455,41483,13,95
456,73658,13,97
457,5287,13,99
458,1843,13,101
459,34521,13,103
460,9907,13,105
461,11465,13,107
462,5348,13,109
463,12869,13,111
464,61015,13,113
465,49722,13,115
466,133619,13,117
467,12064,13,119
468,537317,13,121
469,16204,13,123
470,1470,13,125
471,42540,13,127
472,29477,13,129
473,13004,13,131
474,10070,13,133
475,487677,13,135
476,23738,13,137
477,106346,13,139
478,4194,13,141
