From,To,Sign
0,3,4
0,4,3
0,6,3
0,9,-4
0,14,-4
0,16,-3
1,2,3
1,6,-4
1,7,4
1,11,4
1,14,-4
1,16,-3
2,4,4
2,9,-4
2,10,-4
2,15,-4
3,0,4
3,4,4
3,9,-3
3,14,-4
4,3,4
4,5,-4
4,11,4
4,14,-4
5,2,-4
5,7,3
5,11,-4
5,16,-3
6,8,4
6,9,-3
6,13,4
6,16,3
7,1,4
7,11,3
7,13,-3
7,14,-4
7,16,-3
8,5,-4
8,6,4
8,9,4
8,11,4
8,14,-3
9,2,-4
9,8,4
9,12,-3
9,14,-4
10,1,3
10,2,-4
10,3,4
10,9,-3
10,14,-4
10,15,4
11,1,4
11,4,4
11,7,3
11,9,-3
11,14,-4
11,16,-3
12,7,4
12,8,3
13,1,3
13,2,-3
13,5,-4
13,6,4
13,8,-3
13,16,4
14,1,3
14,2,4
14,7,-3
14,12,3
14,16,-4
15,1,4
15,2,-4
15,3,4
15,10,4
15,13,-4
15,14,-4
16,1,3
16,2,-3
16,5,-4
16,6,4
16,9,-3
16,13,4
