From,To,Sign
0,14,4
1,2,4
1,4,-3
1,5,-4
1,11,4
1,15,4
2,5,-4
2,6,4
2,8,-3
2,11,4
3,0,-3
3,7,-3
3,8,4
3,18,4
4,5,-4
4,7,4
4,8,-3
4,12,-4
4,14,3
4,17,4
5,7,-3
5,10,-3
5,11,-3
5,18,4
6,2,4
6,11,3
6,12,-3
7,5,-4
7,8,-4
7,14,3
8,2,-3
8,3,4
8,9,-4
8,12,4
8,14,-3
8,18,4
9,2,-4
9,3,4
9,5,4
9,10,-3
9,13,4
9,19,-3
10,2,4
10,5,-4
10,9,-4
10,12,-3
10,16,4
11,2,3
11,4,4
11,8,-4
11,12,-3
12,8,4
12,10,-4
12,11,-3
12,18,4
13,8,-4
13,12,-3
13,13,4
14,5,-3
14,8,-4
14,12,-4
14,13,4
15,1,4
15,3,-3
15,5,-4
15,6,4
15,11,4
15,14,-3
16,6,3
16,9,-3
16,10,3
16,11,3
16,12,-3
17,7,4
18,3,4
18,5,4
18,8,4
18,19,-3
19,0,3
19,1,3
19,16,-3
