From,To,Sign
0,9,3
0,16,3
0,18,-3
0,19,-4
1,0,4
1,3,-3
1,5,4
1,14,-3
1,19,-3
2,11,-3
2,14,-3
2,17,4
2,18,4
3,1,-3
3,2,-4
3,4,4
3,12,4
3,16,3
4,11,-3
4,12,4
4,15,4
4,16,3
4,18,-3
4,19,-3
5,0,3
5,3,-3
5,9,4
5,11,-4
5,19,-3
6,7,4
6,8,-4
6,14,4
6,16,-4
6,20,4
7,3,-4
7,6,4
7,14,4
7,16,-4
7,20,4
8,5,3
8,11,-3
8,12,3
8,19,-3
9,0,4
9,5,4
9,11,-4
9,13,-3
9,18,-4
10,0,4
10,5,3
10,9,3
10,14,-4
11,3,-4
11,10,3
11,13,4
11,14,-4
11,19,4
12,2,-3
12,16,4
13,2,-4
13,4,4
13,15,4
13,18,-4
13,19,4
14,3,-4
14,6,4
14,7,4
14,16,-4
14,20,4
15,4,4
15,11,-4
15,12,4
15,16,4
15,19,-4
16,2,-4
16,4,3
16,12,4
16,14,-3
16,19,-3
17,2,4
17,3,-4
17,14,-3
17,20,3
18,0,3
18,12,4
18,19,-3
19,10,4
19,11,4
19,14,-3
19,18,-3
20,6,4
20,7,4
20,14,4
20,16,-3
